mu,sigma_c,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
0.01,2.0,0,100,0,0,,1,1.0,0.0,0.0,
0.01,2.0,0,100,0,0,,2,1.0,0.0,0.0,
0.01,2.0,0,100,0,0,,3,1.0,0.0,0.0,
0.01,2.0,0,100,0,0,,4,1.0,0.0,0.0,
0.01,2.0,0,100,0,0,,5,1.0,0.0,0.0,
0.01,2.0,0,100,0,0,,6,1.0,0.0,0.0,
0.01,2.0,0,100,0,0,,7,0.966086956521739,0.0,0.0,
0.01,2.0,0,100,0,0,,8,0.966086956521739,0.0,0.0,
0.01,2.0,0,100,0,0,,9,1.0,0.0,0.0,
0.01,2.0,0,100,0,0,,10,1.0,0.0,0.0,
0.01,2.0,0,100,0,0,,11,1.0,0.0,0.0,
0.01,2.0,0,100,0,0,,12,1.0,0.0,0.0,
0.01,2.0,0,100,0,0,,13,0.966086956521739,0.0,0.0,
0.01,2.0,0,100,0,0,,14,1.0,0.0,0.0,
0.01,2.0,0,100,0,0,,15,0.968125,0.0,0.0,
0.01,2.0,0,100,0,0,,16,1.0,0.0,0.0,
0.01,2.0,0,100,0,0,,17,1.0,0.0,0.0,
0.01,2.0,0,100,0,0,,18,1.0,0.0,0.0,
0.01,2.0,0,100,0,0,,19,1.0,0.0,0.0,
0.01,2.0,0,100,0,0,,20,0.966086956521739,0.0,0.0,
0.01,2.0,0,100,0,0,,21,1.0,0.0,0.0,
0.01,2.0,0,100,0,0,,22,1.0,0.0,0.0,
0.01,2.0,0,100,0,0,,23,1.0,0.0,0.0,
0.01,2.0,0,100,0,0,,24,1.0,0.0,0.0,
0.01,2.0,0,100,0,0,,25,1.0,0.0,0.0,
0.01,2.0,0,100,0,0,,26,1.0,0.0,0.0,
0.01,2.0,0,100,0,0,,27,1.0,0.0,0.0,
0.01,2.0,0,100,0,0,,28,1.0,0.0,0.0,
0.01,2.0,0,100,0,0,,29,1.0,0.0,0.0,
0.01,2.0,0,100,0,0,,30,1.0,0.0,0.0,
0.01,2.0,0,100,0,0,,31,1.0,0.0,0.0,
